id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type
13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,Entire home/apt
13394,Fort Greene brownstone ,52335,Alexander,Brooklyn,Fort Greene,Private room
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,Private room
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,Entire home/apt
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,Entire home/apt
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,Entire home/apt
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,Entire home/apt
14377,Williamsburg 1 bedroom Apartment,56512,Joanna,Brooklyn,Williamsburg,Entire home/apt
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,Private room
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,Private room
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Brooklyn,Greenpoint,Private room
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Ted,Manhattan,SoHo,Entire home/apt
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,Private room
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,Entire home/apt
15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,Entire home/apt
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,Entire home/apt
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,Private room
16421,Your Heaven in Hells Kitchen,63924,Mark,Manhattan,Hell's Kitchen,Private room
16458,Light-filled 2B duplex in the heart of Park Slope!,64056,Sara,Brooklyn,Park Slope,Entire home/apt
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,Private room
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,Entire home/apt
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,Private room
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,Entire home/apt
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,Entire home/apt
17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,Private room
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,Private room
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,Private room
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,Entire home/apt
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,Private room
18198,Little King of Queens,70091,Justin,Queens,Woodside,Private room
18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,Private room
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,Private room
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,Private room
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,Entire home/apt
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Manhattan,Lower East Side,Entire home/apt
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,Entire home/apt
19319,Private room Great Deal at Lower East Side,44263,Ana,Manhattan,Lower East Side,Private room
19601,perfect for a family or small group,74303,Maggie,Brooklyn,Brooklyn Heights,Entire home/apt
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,Entire home/apt
20299,Oh glorious spring!,62407,Edward,Manhattan,East Village,Private room
20300,Great Location for NYC,76627,Pas,Manhattan,East Village,Private room
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Brooklyn,Williamsburg,Private room
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,Private room
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,Entire home/apt
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room
20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,Entire home/apt
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,Entire home/apt
21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt
21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,Entire home/apt
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,Private room
21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,Private room
22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,Private room
23135,House On Henry (3rd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt
23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,Private room
23686,2000 SF 3br 2bath West Village private  townhouse,93790,Ann,Manhattan,West Village,Entire home/apt
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,Private room
24285,Beautiful Duplex Apartment,97797,Brenda,Brooklyn,Park Slope,Entire home/apt
25235,Large 2 Bedroom Great for Groups!,87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,Entire home/apt
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,Private room
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,Jessica,Brooklyn,Gowanus,Entire home/apt
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,Private room
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,Entire home/apt
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,Entire home/apt
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Bruce,Manhattan,East Village,Entire home/apt
26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,Entire home/apt
26969,2 story family home in Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,Entire home/apt
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,Entire home/apt
27385,Great Large 1 BR apt  in East Village!,72062,Bruce,Manhattan,East Village,Entire home/apt
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,Private room
27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,Entire home/apt
27659,3 Story Town House in Park Slope,119588,Vero,Brooklyn,South Slope,Entire home/apt
27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,Entire home/apt
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,Entire home/apt
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,Private room
28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,Private room
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,Entire home/apt
29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fernando And Lenin,Manhattan,Washington Heights,Private room
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,Entire home/apt
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,Private room
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,Entire home/apt
30031,NYC artists’ loft with roof deck,129352,Sol,Brooklyn,Greenpoint,Private room
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,Entire home/apt
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,Private room
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,Entire home/apt
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,Private room
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,Private room
32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,Private room
32100,"Modern Greenpoint, Brooklyn Apt",138579,Ali+Scott,Brooklyn,Greenpoint,Entire home/apt
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,Entire home/apt
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,Entire home/apt
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,Private room
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,Entire home/apt
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,Entire home/apt
33014,NYC Zen,143048,Paula,Manhattan,East Village,Entire home/apt
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,Private room
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,Private room
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,Private room
36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,Private room
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,Private room
36442,Great location. Spacious on PROSPECT PARK,137432,Paz,Brooklyn,Prospect Heights,Entire home/apt
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,Private room
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,Entire home/apt
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,Entire home/apt
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,Entire home/apt
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,Entire home/apt
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,Entire home/apt
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,Private room
39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Queens,Sunnyside,Private room
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt
40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,Private room
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Sylvia,Manhattan,Upper East Side,Entire home/apt
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Brooklyn,Gowanus,Entire home/apt
41513,Convenient cozy cheap apt Manhattan,181167,Lorenzo,Manhattan,Harlem,Entire home/apt
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,Private room
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,Private room
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,Private room
44096,Room with a View,190409,Waundell,Bronx,Highbridge,Private room
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,Entire home/apt
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,Private room
44221,Financial District Luxury Loft,193722,Coral,Manhattan,Financial District,Entire home/apt
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,Private room
44288,Your own Lovely West Village Studio,193637,Sara,Manhattan,West Village,Entire home/apt
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,Entire home/apt
45393,Greenwich Village Stylish Apartment,201297,Myrna,Manhattan,West Village,Entire home/apt
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,Entire home/apt
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Brooklyn,Fort Greene,Private room
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,Entire home/apt
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,Private room
45940,Bright Spacious Luxury Condo,204724,Miyoung,Brooklyn,Williamsburg,Entire home/apt
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,Entire home/apt
46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,Private room
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Manhattan,Upper East Side,Private room
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",214148,Robert,Brooklyn,Bedford-Stuyvesant,Entire home/apt
47370,Chelsea Studio sublet 1 - 2 months,214287,Alex,Manhattan,Chelsea,Entire home/apt
47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Manhattan,Hell's Kitchen,Entire home/apt
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Manhattan,Lower East Side,Entire home/apt
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Laurie,Brooklyn,South Slope,Entire home/apt
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,Private room
51485,Lower East Side $57~/night,236655,Erina,Manhattan,Lower East Side,Private room
51572,Prime Location in Manhattan,237329,Lee,Manhattan,Chelsea,Private room
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,Private room
53137,"Quiet, sunny Midtown Manhattan apt.",240360,Marlaine,Manhattan,Hell's Kitchen,Entire home/apt
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,Private room
53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,Entire home/apt
53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,Private room
53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,Entire home/apt
54158,The Institute—Heart of Williamsburg,10889,Bob,Brooklyn,Williamsburg,Entire home/apt
54453,MIDTOWN WEST - Large alcove studio,255583,Anka,Manhattan,Hell's Kitchen,Shared room
54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,Private room
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room
54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,Entire home/apt
54626,Cozy bedroom by Yankee Stadium,190409,Waundell,Bronx,Highbridge,Private room
54860,Great apartment with private bathroom and entrance,258164,Jenny,Manhattan,East Harlem,Private room
55467,Private Garden Apt • New Renovation,260709,Paul,Brooklyn,Williamsburg,Entire home/apt
55498,Modern comfort in art infused landmark Brownstone,262138,Tami,Brooklyn,Bedford-Stuyvesant,Private room
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,Jason,Manhattan,NoHo,Private room
55737,Sleek & Comfortable Soho Apt,263414,Pete,Manhattan,West Village,Entire home/apt
55959,Spacious Williamsburg Share w/ LOFT BED,168525,Gus,Brooklyn,Williamsburg,Private room
55982,Cozy 2 br in sunny Fort Greene apt,264928,Sally,Brooklyn,Fort Greene,Private room
56467,Cozy East Village Railroad 1 Bed!,267593,Leonardo,Manhattan,East Village,Entire home/apt
56525,1 Bedroom Loft w/ Private Roof Deck,268014,Alex,Brooklyn,Greenpoint,Entire home/apt
56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,Private room
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,Entire home/apt
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,S.M.,Brooklyn,Cobble Hill,Entire home/apt
57468,"Modern, Large East Village Loft",239208,Ori,Manhattan,East Village,Entire home/apt
57618,"Great new apt, close to everything",274557,Ana,Manhattan,Hell's Kitchen,Entire home/apt
57740,Quiet & Clean Retreat in the City,275459,I,Manhattan,East Village,Entire home/apt
57754,Stylish Large Gramercy Loft!,275578,R,Manhattan,Flatiron District,Entire home/apt
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,Harlem,Entire home/apt
58059,PRIVATE Room on Historic Sugar Hill,277379,Agnes,Manhattan,Harlem,Private room
58062,South Slope Green,277394,Linda,Brooklyn,Windsor Terrace,Private room
58467,"17 Flr. Manhattan Views, Nr. Subway",279797,Dave,Manhattan,Roosevelt Island,Private room
59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,Entire home/apt
59121,"Nice, clean, safe, convenient 3BR",204539,Mark,Queens,Ridgewood,Entire home/apt
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,274782,Betty,Brooklyn,Greenpoint,Entire home/apt
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,Ricardo & Ashlie,Manhattan,Chinatown,Entire home/apt
59855,One bedroom Apt. in NYC,288031,Leslie,Manhattan,Midtown,Entire home/apt
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,Manhattan,SoHo,Entire home/apt
60457,Spacious Greenwich Village Apt,99212,Jessica,Manhattan,Greenwich Village,Entire home/apt
60611,SpaHa Studio Monthly Rental,292204,Blanca,Manhattan,East Harlem,Entire home/apt
60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,Private room
60673,Private Room/bath Luxurious Harlem,249372,Cynthia,Manhattan,Harlem,Private room
60680,The gem of the East Village,292630,Mich,Manhattan,East Village,Entire home/apt
60794,"Bright and spacious, garden below!",293394,Rachel,Manhattan,Upper West Side,Entire home/apt
60948,ACCOMMODATIONS GALORE #2,126607,Laurine,Manhattan,East Harlem,Entire home/apt
61167,Colorful Private One Bedroom Apt,295760,Greta,Manhattan,Little Italy,Entire home/apt
61224,Huge Chelsea Loft,291112,Frank,Manhattan,Chelsea,Entire home/apt
61406,Great room in great location,297176,Bethania,Manhattan,Harlem,Private room
61492,Exclusive Room with Private Bath in  LES,297769,Tunji,Manhattan,Chinatown,Private room
61509,"Quiet, clean midtown apt w. elevato",23619,Anna/Fonzy,Manhattan,Midtown,Entire home/apt
62095,BK Sweet Suite w/Kitchen&FullBath,281764,Colette&Sean,Brooklyn,East Flatbush,Entire home/apt
62427,Great East Village Apartment Rental,303882,Brie,Manhattan,East Village,Entire home/apt
62430,BROWNSTONE SUNDRENCHED BEAUTY,197755,Sheila,Brooklyn,Bushwick,Entire home/apt
62452,A SpeciaL!! Private Room in NY,303939,Lissette,Staten Island,Tompkinsville,Private room
62461,B NYC Staten Alternative...,303939,Lissette,Staten Island,Tompkinsville,Private room
62787,C Private Room By The Ferry,303939,Lissette,Staten Island,Tompkinsville,Private room
62891,Smallest House In The Village,306545,Olivia,Manhattan,East Village,Entire home/apt
62903,Beautiful modern studio apartment in heart of NYC,306605,Daniel,Manhattan,Chelsea,Entire home/apt
62925,Beautiful Landmarked Duplex,306739,Maya,Brooklyn,Greenpoint,Entire home/apt
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,308875,Scott,Brooklyn,Williamsburg,Private room
63320,D Private Che@p Room 2 Explore NYC,303939,Lissette,Staten Island,Tompkinsville,Private room
63360,Safe cute near subway& Manhattan NY NY retro style,307962,Dennis & Naoko,Queens,Astoria,Entire home/apt
63546,Large and Cozy Private Bedroom,308652,Antonín,Brooklyn,Kensington,Private room
63573,Small tidy bedroom in duplex,310458,Emily,Brooklyn,Park Slope,Private room
63588,LL3,295128,Carol Gloria,Bronx,Clason Point,Private room
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,310670,Vie,Bronx,Eastchester,Entire home/apt
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt
63693,Cottage in the Village,306545,Olivia,Manhattan,East Village,Entire home/apt
63719,BEDROOM1 FOR RENT 10min from Manhan,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room
63913,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",312288,Paula,Manhattan,Inwood,Private room
64000,Williamsburg near soho. / loftbed,312722,Kristian & Di,Brooklyn,Williamsburg,Private room
64015,Prime East Village 1 Bedroom,146944,David,Manhattan,East Village,Entire home/apt
64107,BROOKLYN  STUDIO APARTMENT,313317,Niya,Brooklyn,Crown Heights,Private room
64277,BEDROOM2 FOR RENT  10min from Manh,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room
64314,cozy bedroom in lovely garden apt,314256,Debbie,Brooklyn,Crown Heights,Private room
64365,Crown Heights Garden Apt.,314582,Anthony,Brooklyn,Crown Heights,Private room
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,7310,Tilly,Manhattan,Little Italy,Entire home/apt
64837,ENJOY Downtown NYC!!,46978,Edward,Manhattan,East Village,Private room
65019,Charming UWS Treehouse Apt,317809,Claire,Manhattan,Upper West Side,Entire home/apt
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,Juhli,Brooklyn,Bedford-Stuyvesant,Private room
65556,"Room in S3rd/Bedford, Williamsburg",320422,Marlon,Brooklyn,Williamsburg,Private room
65562,CHARMING EAST VILLAGE 2 (or 1) BR,320450,Mary D,Manhattan,East Village,Entire home/apt
65615,Farmhouse Apartment in Williamsburg,320761,Valerie,Brooklyn,Williamsburg,Entire home/apt
65660,Bright+Spacious Williamsburg Abode!,320538,Larissa,Brooklyn,Williamsburg,Entire home/apt
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,Eric,Manhattan,Harlem,Private room
65834,Beautiful 1 Bedroom Apt Park Slope,321934,Jessica,Brooklyn,Park Slope,Entire home/apt
66008,CHARMING CARROLL GARDENS APT.,322884,Melissa,Brooklyn,Carroll Gardens,Entire home/apt
66026,Private Bedroom Brownstone Brooklyn,322716,Alex,Brooklyn,Crown Heights,Private room
66251,East Village Loft with Piano & Patio,324460,Samir,Manhattan,East Village,Entire home/apt
66275,Lower East Side Magic Room,314941,Tony,Manhattan,Lower East Side,Private room
66451,**Fantastic Williamsburg Apt**,325389,Luis Fernando,Brooklyn,Williamsburg,Entire home/apt
